SampleID	day	Rep	type	trt	group
#q2:types	categorical	categorical	categorical	categorical	categorical
Fe_d0_1	0	1	fecal	Control	d0_control
Fe_d0_2	0	2	fecal	Control	d0_control
Fe_d0_3	0	3	fecal	Control	d0_control
Fe_d0_4	0	4	fecal	Control	d0_control
Fe_d0_5	0	5	fecal	Control	d0_control
Fe_d0_8	0	1	fecal	Oral	d0_oral
Fe_d0_9	0	2	fecal	Oral	d0_oral
Fe_d0_10	0	3	fecal	Oral	d0_oral
Fe_d0_11	0	4	fecal	Oral	d0_oral
Fe_d0_12	0	5	fecal	Oral	d0_oral
Fe_d0_13	0	1	fecal	Rectal	d0_rectal
Fe_d0_14	0	2	fecal	Rectal	d0_rectal
Fe_d0_15	0	3	fecal	Rectal	d0_rectal
Fe_d0_16	0	4	fecal	Rectal	d0_rectal
Fe_d0_17	0	5	fecal	Rectal	d0_rectal
Fe_d0_20	0	1	fecal	In-feed	d0_in-feed
Fe_d0_21	0	2	fecal	In-feed	d0_in-feed
Fe_d0_22	0	3	fecal	In-feed	d0_in-feed
Fe_d0_23	0	4	fecal	In-feed	d0_in-feed
Fe_d0_24	0	5	fecal	In-feed	d0_in-feed
Fe_d0_25	0	6	fecal	Control	d0_control
Fe_d0_26	0	7	fecal	Control	d0_control
Fe_d0_27	0	8	fecal	Control	d0_control
Fe_d0_28	0	9	fecal	Control	d0_control
Fe_d0_29	0	10	fecal	Control	d0_control
Fe_d0_30	0	6	fecal	Oral	d0_oral
Fe_d0_33	0	7	fecal	Oral	d0_oral
Fe_d0_34	0	8	fecal	Oral	d0_oral
Fe_d0_35	0	9	fecal	Oral	d0_oral
Fe_d0_36	0	10	fecal	Oral	d0_oral
Fe_d0_37	0	6	fecal	Rectal	d0_rectal
Fe_d0_38	0	7	fecal	Rectal	d0_rectal
Fe_d0_39	0	8	fecal	Rectal	d0_rectal
Fe_d0_40	0	9	fecal	Rectal	d0_rectal
Fe_d0_41	0	10	fecal	Rectal	d0_rectal
Fe_d0_44	0	6	fecal	In-feed	d0_in-feed
Fe_d0_45	0	7	fecal	In-feed	d0_in-feed
Fe_d0_46	0	8	fecal	In-feed	d0_in-feed
Fe_d0_47	0	9	fecal	In-feed	d0_in-feed
Fe_d0_48	0	10	fecal	In-feed	d0_in-feed
Fe_d2_1	2	1	fecal	Control	d2_control
